                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.67349,                0.43509,                0.94109,                0.71978,                      1,                0.84203,                0.61899,                0.96578,                0.93212,                 1.0182,              0.0006603,              0.0006603,              0.0006603
                     63,                0.69079,                0.43673,                0.95426,                0.72067,                 0.9898,                0.78908,                0.60321,                0.84838,                 1.2227,                0.98724,              0.0006438,              0.0006438,              0.0006438
                     64,                0.69898,                0.42869,                0.95892,                0.71857,                 0.9898,                0.72439,                0.52991,                    0.9,                 1.1795,                 1.0126,             0.00062729,             0.00062729,             0.00062729
                     65,                0.68509,                0.42911,                0.93734,                0.71842,                 0.9898,                0.72305,                0.54945,                0.85207,                 1.2015,                 1.0019,             0.00061079,             0.00061079,             0.00061079
                     66,                0.66903,                0.42265,                0.94011,                0.72165,                 0.9898,                0.73987,                0.54814,                0.86729,                  1.074,                 1.0003,             0.00059429,             0.00059429,             0.00059429
                     67,                 0.6784,                0.40544,                0.93933,                0.71856,                 0.9898,                0.89393,                0.68934,                0.82167,                0.97112,                0.98611,             0.00057778,             0.00057778,             0.00057778
                     68,                0.68359,                0.41832,                0.94429,                 0.7217,                 0.9898,                0.77596,                 0.5906,                0.86293,                0.98535,                 1.0052,             0.00056128,             0.00056128,             0.00056128
                     69,                0.68823,                 0.4184,                0.94848,                0.72044,                0.99999,                0.90903,                0.69205,                0.88491,                0.93064,                0.99376,             0.00054478,             0.00054478,             0.00054478
                     70,                0.66593,                0.41739,                0.93619,                0.70947,                0.99838,                 0.7816,                0.57413,                0.90366,                 1.1251,                 1.0081,             0.00052827,             0.00052827,             0.00052827
                     71,                 0.6776,                0.41913,                0.94245,                 0.7169,                      1,                 0.8571,                  0.647,                0.85979,                 1.1811,                0.99746,             0.00051177,             0.00051177,             0.00051177
                     72,                0.67318,                0.41119,                0.94296,                0.71701,                 0.9898,                0.86948,                0.63877,                0.87632,                 1.0276,                 1.0077,             0.00049527,             0.00049527,             0.00049527
                     73,                0.65121,                 0.4056,                 0.9299,                0.71602,                 0.9898,                0.87163,                0.65666,                0.90081,                0.91002,                 1.0123,             0.00047876,             0.00047876,             0.00047876
                     74,                0.64608,                0.39146,                0.92952,                0.72027,                 0.9898,                0.91145,                0.68521,                0.90887,                0.98321,                  1.006,             0.00046226,             0.00046226,             0.00046226
                     75,                0.65099,                0.41194,                0.93355,                0.71691,                 0.9898,                0.84835,                 0.6308,                0.88521,                 0.9382,                  1.014,             0.00044576,             0.00044576,             0.00044576
                     76,                0.65661,                0.39825,                0.93117,                0.71845,                0.99844,                0.92736,                0.72084,                0.82268,                0.94501,                 0.9841,             0.00042925,             0.00042925,             0.00042925
                     77,                0.65815,                 0.3999,                0.93257,                 0.6778,                 0.9898,                0.82702,                0.62188,                0.81337,                 1.0619,                0.98651,             0.00041275,             0.00041275,             0.00041275
                     78,                0.63439,                0.38594,                0.92799,                0.71933,                 0.9898,                0.90189,                0.67886,                0.88551,                 1.1348,                0.99756,             0.00039625,             0.00039625,             0.00039625
                     79,                0.64281,                0.39111,                0.92441,                0.71529,                 0.9898,                0.81221,                0.62432,                0.81671,                 1.0061,                0.98063,             0.00037974,             0.00037974,             0.00037974
                     80,                0.64022,                0.38524,                0.92993,                0.72053,                 0.9898,                0.73494,                0.56868,                0.82289,                 1.1178,                0.98013,             0.00036324,             0.00036324,             0.00036324
                     81,                0.63592,                0.38098,                0.92334,                0.72078,                 0.9898,                0.90402,                0.68854,                0.81249,                 1.0533,                0.97849,             0.00034674,             0.00034674,             0.00034674
                     82,                0.63704,                0.37954,                0.92489,                0.72118,                 0.9898,                0.91536,                0.69723,                0.82314,                0.96158,                0.98443,             0.00033023,             0.00033023,             0.00033023
                     83,                0.64186,                0.39233,                 0.9348,                0.72123,                 0.9898,                0.89086,                0.69265,                0.82609,                0.92137,                 0.9796,             0.00031373,             0.00031373,             0.00031373
                     84,                0.64391,                0.38521,                0.93066,                0.72045,                 0.9898,                0.91748,                 0.7124,                0.84928,                 1.0595,                0.98708,             0.00029723,             0.00029723,             0.00029723
                     85,                0.63537,                0.38834,                0.92255,                0.72088,                 0.9898,                0.91254,                 0.7155,                0.85551,                 1.0434,                0.99455,             0.00028072,             0.00028072,             0.00028072
                     86,                0.62552,                0.38376,                0.92843,                0.68613,                 0.9898,                  0.901,                0.67132,                0.87329,                 0.9837,                 1.0036,             0.00026422,             0.00026422,             0.00026422
                     87,                0.62791,                0.37817,                0.91795,                0.72132,                 0.9898,                0.91811,                0.68772,                0.87271,                0.86459,                 1.0059,             0.00024772,             0.00024772,             0.00024772
                     88,                0.64276,                0.37972,                0.93067,                0.72191,                 0.9898,                0.90642,                0.68739,                0.86148,                0.86603,                 1.0011,             0.00023121,             0.00023121,             0.00023121
                     89,                0.62621,                0.37166,                0.92259,                0.72126,                 0.9898,                0.91617,                0.69744,                0.85524,                 0.9451,                 1.0007,             0.00021471,             0.00021471,             0.00021471
                     90,                0.63442,                0.38205,                0.93017,                 0.7217,                 0.9898,                0.92897,                0.70926,                0.89408,                0.93998,                 1.0129,             0.00019821,             0.00019821,             0.00019821
                     91,                0.55727,                0.30136,                0.88344,                 0.6836,                 0.9898,                0.89123,                0.68493,                0.83442,                0.96182,                0.99542,              0.0001817,              0.0001817,              0.0001817
                     92,                 0.5555,                0.30054,                0.87927,                0.65546,                 0.9898,                0.79713,                0.60094,                0.85956,                 1.1194,                  1.005,              0.0001652,              0.0001652,              0.0001652
                     93,                0.54722,                0.29013,                 0.8736,                 0.7136,                 0.9898,                0.91466,                0.70141,                0.81163,                0.89764,                0.99008,              0.0001487,              0.0001487,              0.0001487
                     94,                0.53942,                0.28928,                0.87917,                0.72148,                 0.9898,                0.92313,                0.70419,                0.85263,                0.89468,                 1.0043,             0.00013219,             0.00013219,             0.00013219
                     95,                0.54077,                 0.2862,                0.87022,                 0.7217,                 0.9898,                0.92779,                0.71481,                  0.873,                0.87808,                 1.0067,             0.00011569,             0.00011569,             0.00011569
                     96,                0.53822,                0.28489,                0.87106,                0.72975,                 0.9898,                0.92052,                0.70836,                0.85384,                0.88256,                 1.0042,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.53377,                0.28763,                0.87446,                0.73084,                 0.9898,                0.93016,                0.71977,                0.81293,                 0.8544,                0.97825,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.52977,                0.28165,                0.86519,                0.72948,                 0.9898,                 0.9324,                0.71333,                0.83585,                0.83623,                0.98771,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.5293,                   0.28,                0.87507,                0.72163,                 0.9898,                0.93067,                0.71263,                0.84886,                0.86206,                0.99541,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.52748,                0.28063,                0.86948,                0.72145,                 0.9898,                0.91901,                0.70688,                0.84044,                0.86933,                0.99036,             3.3173e-05,             3.3173e-05,             3.3173e-05
